side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
target	little_big_redstone	Little Big Redstone	1.9.8-1.21.1	NEOFORGE	HARD	389	0	96	1	2	false	false	0	1382	little-big-redstone-1.9.8-1.21.1.jar
target	livingthings	Living Things	1.21.1-2.3.0	NEOFORGE	HARD	165	0	7	1	8	false	false	0	940	livingthings-neoforge-1.21.1-2.3.0.jar
target	lmft	Load My F***ing Tags	1.1.1+1.21.9	NEOFORGE	HARD	13	0	1	2	3	false	false	0	76	lmft-1.1.1+1.21.9-neoforge.jar
target	lootr	Lootr	1.21.1-1.11.37.122	NEOFORGE	NIGHTMARE	316	0	66	3	35	true	false	0	969	lootr-neoforge-1.21.1-1.11.37.122.jar
target	luminax	Luminax	1.3.1	NEOFORGE	TRIVIAL	14	0	13	0	0	false	false	0	688	luminax-1.3.1_neoforge_1.21.1.jar
target	mahoutsukai	Mahou Tsukai	1.21.1-v1.36.27	NEOFORGE	HARD	796	0	342	1	10	true	false	0	4926	mahoutsukai-1.21.1-v1.36.27.jar
target	mcjtylib	McJtyLib	1.21-9.0.21	NEOFORGE	MODERATE	388	0	111	0	0	true	false	0	683	mcjtylib-1.21-9.0.21.jar
target	mcwbridges	Macaw's Bridges	3.1.2	NEOFORGE	TRIVIAL	29	0	13	0	0	false	false	0	645	mcw-bridges-3.1.2-mc1.21.1neoforge.jar
target	mcwdoors	Macaw's Doors	1.1.5	NEOFORGE	TRIVIAL	15	0	10	0	0	false	false	0	1162	mcw-doors-1.1.5-mc1.21.1neoforge.jar
target	mcwfences	Macaw's Fences and Walls	1.2.1	NEOFORGE	TRIVIAL	19	0	5	0	0	false	false	0	658	mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar
target	mcwfurnitures	Macaw's Furniture	3.4.1	NEOFORGE	TRIVIAL	56	0	15	0	0	false	false	0	2031	mcw-furniture-3.4.1-mc1.21.1neoforge.jar
target	mcwholidays	Macaw's Holidays	1.1.2	NEOFORGE	TRIVIAL	107	0	11	0	0	false	false	0	989	mcw-holidays-1.1.2-mc1.21.1neoforge.jar
target	mcwlights	Macaw's Lights and Lamps	1.1.5	NEOFORGE	TRIVIAL	40	0	8	0	0	false	false	0	513	mcw-lights-1.1.5-mc1.21.1neoforge.jar
